,Coefficient
AdultWeekday,19.564947652188778
averageSnowfall,2.153025453208985
daysOpenLastYear,1.5793211708792991
quad,1.419361002015818
surface,1.1136692677090883
trams,1.1119126368810965
vertical_drop,1.0825853473684268
fastQuads,1.0810358280289423
triple,1.070963789938047
Snow Making_ac,0.8799493880229261
projectedDaysOpen,0.7840990362822073
total_chairs,0.7456256448925954
fastSixes,0.7334828162257725
NightSkiing_ac,0.47589689154063075
double,0.44491965382119286
TerrainParks,0.42548722345219564
fastEight,0.3368375724434824
yearsOpen,0.32063823112619094
SkiableTerrain_ac,0.27901598008168005
LongestRun_mi,0.17923357200193443
Runs,0.006947109568450827
EVS,0.9098
MAE,5.928
